ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-11-17,3488.5443354365852,3314.399345570733,3703.1086031829977,3488.5443354365852,3488.5443354365852,25.212489402254874,25.212489402254874,25.212489402254874,25.212489402254874,25.212489402254874,25.212489402254874,0.0,0.0,0.0,3513.75682483884
2025-11-18,3488.3882524308256,3330.13821774702,3713.2844485093046,3488.3882524308256,3488.3882524308256,31.29181505734361,31.29181505734361,31.29181505734361,31.29181505734361,31.29181505734361,31.29181505734361,0.0,0.0,0.0,3519.6800674881692
2025-11-19,3488.232169425066,3346.2693946731497,3714.4568703929954,3488.232169425066,3488.232169425066,42.91285219143964,42.91285219143964,42.91285219143964,42.91285219143964,42.91285219143964,42.91285219143964,0.0,0.0,0.0,3531.1450216165053
2025-11-20,3488.076086419306,3330.2583818391836,3711.096458918722,3488.076086419306,3488.076086419306,38.952118233658865,38.952118233658865,38.952118233658865,38.952118233658865,38.952118233658865,38.952118233658865,0.0,0.0,0.0,3527.028204652965
2025-11-21,3487.920003413546,3333.39476364202,3703.5278180182218,3487.920003413546,3487.920003413546,30.476032828729355,30.476032828729355,30.476032828729355,30.476032828729355,30.476032828729355,30.476032828729355,0.0,0.0,0.0,3518.3960362422754
2025-11-24,3487.4517543962675,3329.7756899121387,3698.888676315099,3487.4517543962675,3487.4517543962675,25.21248940200197,25.21248940200197,25.21248940200197,25.21248940200197,25.21248940200197,25.21248940200197,0.0,0.0,0.0,3512.6642437982696
2025-11-25,3487.295671390508,3322.038203885199,3712.033751078455,3487.295671390508,3487.295671390508,31.29181505736805,31.29181505736805,31.29181505736805,31.29181505736805,31.29181505736805,31.29181505736805,0.0,0.0,0.0,3518.587486447876
2025-11-26,3487.139588384748,3333.7328291791605,3717.5143860017133,3487.139588384748,3487.139588384748,42.91285219144407,42.91285219144407,42.91285219144407,42.91285219144407,42.91285219144407,42.91285219144407,0.0,0.0,0.0,3530.052440576192
2025-11-27,3486.983505378988,3335.4020135901337,3721.119407547931,3486.983505378988,3486.983505378988,38.95211823368382,38.95211823368382,38.95211823368382,38.95211823368382,38.95211823368382,38.95211823368382,0.0,0.0,0.0,3525.935623612672
2025-11-28,3486.8274223732283,3329.6218423833743,3712.1391080376184,3486.8274223732283,3486.8274223732283,30.47603282872884,30.47603282872884,30.47603282872884,30.47603282872884,30.47603282872884,30.47603282872884,0.0,0.0,0.0,3517.303455201957
2025-12-01,3486.3591733559497,3303.141921474932,3699.8336437179164,3486.3591733559497,3486.3591733559497,25.212489402081825,25.212489402081825,25.212489402081825,25.212489402081825,25.212489402081825,25.212489402081825,0.0,0.0,0.0,3511.5716627580314
2025-12-02,3486.2030903501895,3325.050110411855,3703.8202698250175,3486.2030903501895,3486.2030903501895,31.291815057295867,31.291815057295867,31.291815057295867,31.291815057295867,31.291815057295867,31.291815057295867,0.0,0.0,0.0,3517.4949054074855
2025-12-03,3486.04700734443,3324.7010181710407,3719.5361108571915,3486.04700734443,3486.04700734443,42.91285219144849,42.91285219144849,42.91285219144849,42.91285219144849,42.91285219144849,42.91285219144849,0.0,0.0,0.0,3528.9598595358784
2025-12-04,3485.89092433867,3327.4769361682997,3708.7980780520948,3485.89092433867,3485.89092433867,38.95211823366342,38.95211823366342,38.95211823366342,38.95211823366342,38.95211823366342,38.95211823366342,0.0,0.0,0.0,3524.8430425723336
2025-12-05,3485.7348416167174,3332.7500640518874,3707.7472663347526,3485.7348416167174,3485.7348416167174,30.476032829002335,30.476032829002335,30.476032829002335,30.476032829002335,30.476032829002335,30.476032829002335,0.0,0.0,0.0,3516.2108744457196
2025-12-08,3485.2665934508595,3315.2392360017593,3704.120396544115,3485.2665934508595,3485.2665934508595,25.2124894021617,25.2124894021617,25.2124894021617,25.2124894021617,25.2124894021617,25.2124894021617,0.0,0.0,0.0,3510.4790828530213
2025-12-09,3485.1105107289072,3333.257210337543,3703.3914085104643,3485.1105107289072,3485.1105107289072,31.29181505734292,31.29181505734292,31.29181505734292,31.29181505734292,31.29181505734292,31.29181505734292,0.0,0.0,0.0,3516.40232578625
2025-12-10,3484.9544280069545,3346.003220850056,3730.927197461283,3484.9544280069545,3484.9544280069545,42.912852191430595,42.912852191430595,42.912852191430595,42.912852191430595,42.912852191430595,42.912852191430595,0.0,0.0,0.0,3527.867280198385
2025-12-11,3484.7983452850017,3329.6965067342567,3723.0016273503234,3484.7983452850017,3484.7983452850017,38.95211823364301,38.95211823364301,38.95211823364301,38.95211823364301,38.95211823364301,38.95211823364301,0.0,0.0,0.0,3523.7504635186447
2025-12-12,3484.6422625630494,3316.109717240004,3704.112522362553,3484.6422625630494,3484.6422625630494,30.47603282891847,30.47603282891847,30.47603282891847,30.47603282891847,30.47603282891847,30.47603282891847,0.0,0.0,0.0,3515.118295391968
2025-12-15,3484.1740143971915,3317.39302910521,3699.45507913136,3484.1740143971915,3484.1740143971915,25.21248940215615,25.21248940215615,25.21248940215615,25.21248940215615,25.21248940215615,25.21248940215615,0.0,0.0,0.0,3509.386503799348
2025-12-16,3484.0179316752387,3318.870398923044,3712.0280064170765,3484.0179316752387,3484.0179316752387,31.29181505731903,31.29181505731903,31.29181505731903,31.29181505731903,31.29181505731903,31.29181505731903,0.0,0.0,0.0,3515.309746732558
2025-12-17,3483.861848953286,3337.49105985404,3723.2626725594214,3483.861848953286,3483.861848953286,42.91285219143337,42.91285219143337,42.91285219143337,42.91285219143337,42.91285219143337,42.91285219143337,0.0,0.0,0.0,3526.7747011447195
2025-12-18,3483.7057662313337,3325.0353847066444,3706.0339473019026,3483.7057662313337,3483.7057662313337,38.95211823366796,38.95211823366796,38.95211823366796,38.95211823366796,38.95211823366796,38.95211823366796,0.0,0.0,0.0,3522.6578844650016
2025-12-19,3483.549683509381,3320.504590524982,3703.370172607218,3483.549683509381,3483.549683509381,30.476032828834622,30.476032828834622,30.476032828834622,30.476032828834622,30.476032828834622,30.476032828834622,0.0,0.0,0.0,3514.0257163382157
2025-12-22,3483.081435343523,3331.973507667167,3706.4944054126895,3483.081435343523,3483.081435343523,25.21248940215062,25.21248940215062,25.21248940215062,25.21248940215062,25.21248940215062,25.21248940215062,0.0,0.0,0.0,3508.293924745674
2025-12-23,3482.9253526215707,3329.0440587406156,3702.8946536683334,3482.9253526215707,3482.9253526215707,31.291815057343474,31.291815057343474,31.291815057343474,31.291815057343474,31.291815057343474,31.291815057343474,0.0,0.0,0.0,3514.2171676789144
2025-12-24,3482.7692698996175,3329.855559192074,3727.552271428234,3482.7692698996175,3482.7692698996175,42.91285219143945,42.91285219143945,42.91285219143945,42.91285219143945,42.91285219143945,42.91285219143945,0.0,0.0,0.0,3525.682122091057
2025-12-29,3481.988856289854,3314.410880765535,3703.924623693203,3481.988856289854,3481.988856289854,25.21248940223048,25.21248940223048,25.21248940223048,25.21248940223048,25.21248940223048,25.21248940223048,0.0,0.0,0.0,3507.2013456920845
2025-12-30,3481.8327736596416,3322.519868669987,3704.7788181253272,3481.8327736596416,3481.8327736596416,31.291815057319603,31.291815057319603,31.291815057319603,31.291815057319603,31.291815057319603,31.291815057319603,0.0,0.0,0.0,3513.124588716961
2026-01-02,3481.3645257690023,3321.8796300273107,3707.306879932052,3481.3645257690023,3481.3645257690023,30.47603282902424,30.47603282902424,30.47603282902424,30.47603282902424,30.47603282902424,30.47603282902424,0.0,0.0,0.0,3511.8405585980267
2026-01-05,3480.896277878363,3322.2710622301583,3703.648236463684,3480.896277878363,3480.896277878363,25.212489402148385,25.212489402148385,25.212489402148385,25.212489402148385,25.212489402148385,25.212489402148385,0.0,0.0,0.0,3506.1087672805115
2026-01-06,3480.74019524815,3312.508244882408,3691.4219028256516,3480.74019524815,3480.74019524815,31.291815057366648,31.291815057366648,31.291815057366648,31.291815057366648,31.291815057366648,31.291815057366648,0.0,0.0,0.0,3512.0320103055165
2026-01-07,3480.5841126179375,3317.9701537319656,3724.487408130009,3480.5841126179375,3480.5841126179375,42.91285219144667,42.91285219144667,42.91285219144667,42.91285219144667,42.91285219144667,42.91285219144667,0.0,0.0,0.0,3523.4969648093843
2026-01-08,3480.428029987724,3319.7765053095313,3704.054163627627,3480.428029987724,3480.428029987724,38.952118233616915,38.952118233616915,38.952118233616915,38.952118233616915,38.952118233616915,38.952118233616915,0.0,0.0,0.0,3519.380148221341
2026-01-09,3480.271947357511,3344.757461606681,3702.182874356843,3480.271947357511,3480.271947357511,30.476032829023744,30.476032829023744,30.476032829023744,30.476032829023744,30.476032829023744,30.476032829023744,0.0,0.0,0.0,3510.7479801865347
2026-01-12,3479.803699466872,3315.310564286154,3695.154627368109,3479.803699466872,3479.803699466872,25.21248940214284,25.21248940214284,25.21248940214284,25.21248940214284,25.21248940214284,25.21248940214284,0.0,0.0,0.0,3505.0161888690145
2026-01-13,3479.647616836659,3317.9860483783164,3707.43040358688,3479.647616836659,3479.647616836659,31.29181505734278,31.29181505734278,31.29181505734278,31.29181505734278,31.29181505734278,31.29181505734278,0.0,0.0,0.0,3510.9394318940017
2026-01-14,3479.491534206446,3335.5316979271797,3716.3088583576646,3479.491534206446,3479.491534206446,42.91285219144946,42.91285219144946,42.91285219144946,42.91285219144946,42.91285219144946,42.91285219144946,0.0,0.0,0.0,3522.4043863978955
2026-01-15,3479.335451576233,3318.1472729434895,3708.5975203676817,3479.335451576233,3479.335451576233,38.95211823368721,38.95211823368721,38.95211823368721,38.95211823368721,38.95211823368721,38.95211823368721,0.0,0.0,0.0,3518.28756980992
2026-01-19,3478.7111210553808,3298.9725876661046,3691.144496929297,3478.7111210553808,3478.7111210553808,25.212489402137308,25.212489402137308,25.212489402137308,25.212489402137308,25.212489402137308,25.212489402137308,0.0,0.0,0.0,3503.923610457518
2026-01-20,3478.555038425168,3298.1840371188214,3706.72783294314,3478.555038425168,3478.555038425168,31.291815057367206,31.291815057367206,31.291815057367206,31.291815057367206,31.291815057367206,31.291815057367206,0.0,0.0,0.0,3509.846853482535
2026-01-21,3478.3989557949544,3332.074484028501,3725.303935846289,3478.3989557949544,3478.3989557949544,42.91285219145389,42.91285219145389,42.91285219145389,42.91285219145389,42.91285219145389,42.91285219145389,0.0,0.0,0.0,3521.3118079864084
2026-01-22,3478.242873164742,3328.586638643878,3711.3952308615644,3478.242873164742,3478.242873164742,38.95211823358626,38.95211823358626,38.95211823358626,38.95211823358626,38.95211823358626,38.95211823358626,0.0,0.0,0.0,3517.194991398328
2026-01-23,3474.408181574352,3322.201173400958,3708.962727076335,3474.408181574352,3474.408181574352,30.476032828856013,30.476032828856013,30.476032828856013,30.476032828856013,30.476032828856013,30.476032828856013,0.0,0.0,0.0,3504.8842144032083
2026-01-26,3462.9041068031834,3312.940924596184,3677.5298920693995,3462.9041068031834,3462.9041068031834,25.212489402217166,25.212489402217166,25.212489402217166,25.212489402217166,25.212489402217166,25.212489402217166,0.0,0.0,0.0,3488.1165962054006
2026-01-27,3459.069415212794,3304.1757011325153,3684.452526147976,3459.069415212794,3459.069415212794,31.291815057295025,31.291815057295025,31.291815057295025,31.291815057295025,31.291815057295025,31.291815057295025,0.0,0.0,0.0,3490.361230270089
2026-01-28,3455.2347236224045,3295.810106450072,3696.721075852019,3455.2347236224045,3455.2347236224045,42.912852191435974,42.912852191435974,42.912852191435974,42.912852191435974,42.912852191435974,42.912852191435974,0.0,0.0,0.0,3498.1475758138404
2026-01-29,3451.4000320320147,3298.2327743884507,3686.6223008322067,3451.4000320320147,3451.4000320320147,38.952118233656556,38.952118233656556,38.952118233656556,38.952118233656556,38.952118233656556,38.952118233656556,0.0,0.0,0.0,3490.3521502656713
2026-01-30,3447.5653404416257,3292.2050585784327,3671.0486770171533,3447.5653404416257,3447.5653404416257,30.476032828855512,30.476032828855512,30.476032828855512,30.476032828855512,30.476032828855512,30.476032828855512,0.0,0.0,0.0,3478.041373270481
2026-02-02,3436.061265670457,3263.585257429875,3650.4921545108646,3436.061265670457,3436.061265670457,25.212489401878827,25.212489401878827,25.212489401878827,25.212489401878827,25.212489401878827,25.212489401878827,0.0,0.0,0.0,3461.273755072336
