Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2025-03-03,3139.90380859375,3199.7929820546665,2968.791884419704,3011.569865463215,744626800
2025-03-04,3139.90380859375,3182.6817896372618,3080.014635132834,3148.4594048024524,338434700
2025-03-05,3285.3486328125,3336.6822052001953,3174.12589263916,3174.12589263916,441151000
2025-03-06,3379.46044921875,3413.682833514636,3311.015680626978,3311.015680626978,434485100
2025-03-07,3259.68212890625,3362.3492825725884,3259.68212890625,3362.3492825725884,243793600
2025-03-10,3216.904052734375,3259.682032159034,3191.237265079579,3242.5708403891704,232192200
2025-03-11,3242.57080078125,3242.57080078125,3131.348055635719,3165.5704387574206,273961800
2025-03-12,3328.126708984375,3353.7934959431236,3259.681943761046,3259.681943761046,271631200
2025-03-13,3251.12646484375,3396.5715961657074,3251.12646484375,3388.0160002055923,209225700
2025-03-14,3208.348388671875,3285.3487499999997,3208.348388671875,3208.348388671875,156131900
2025-03-17,3276.79345703125,3285.3490535248043,3191.237492095708,3234.015474563479,162467700
2025-03-18,3148.45947265625,3302.4602077318273,2994.4587375806723,3285.349014945652,416894600
2025-03-19,3174.1259765625,3234.015145931604,3148.459189690027,3174.1259765625,352217700
2025-03-20,3131.347900390625,3216.9038539532103,3114.236709678108,3191.237067884435,313033000
2025-03-21,3165.570556640625,3165.570556640625,3037.236615155194,3080.014595650338,627645600
2025-03-24,3088.570068359375,3199.7928132033417,3011.5697065443214,3122.792451388288,342883200
2025-03-25,3251.12646484375,3285.3488486842107,3131.3481214021385,3131.3481214021385,331285900
2025-03-26,3422.23828125,3439.34947265625,3302.45994140625,3311.0155371093747,540888800
2025-03-27,3465.01611328125,3465.01611328125,3362.3489691840277,3422.238136574074,322553200
2025-04-08,3114.23681640625,3208.3483685503948,2951.680499066363,2960.236094715831,734807100
2025-04-09,3105.681396484375,3174.126165552901,3080.0146080836776,3088.5702042172434,366649900
2025-04-10,3251.12646484375,3362.3492123252468,3225.459676963405,3353.7936163651316,417562900
2025-04-11,3285.88623046875,3303.990286834969,3249.678117736312,3258.7301459194214,301200600
2025-04-14,3340.1982421875,3340.1982421875,3276.83404789126,3285.8860756478657,169458300
2025-04-15,3340.1982421875,3421.666491996951,3331.1462144308944,3376.4063532139226,254224400
2025-04-16,3303.990478515625,3349.250622056935,3258.730334974315,3340.198593348673,233772400
2025-04-17,3294.938232421875,3322.0943167550226,3267.782148088728,3322.0943167550226,121059300
2025-04-21,3276.834228515625,3313.0423415378973,3231.574087237785,3276.834228515625,107470200
2025-04-22,3285.88623046875,3303.990286834969,3258.7301459194214,3258.7301459194214,147116900
2025-04-23,3403.562744140625,3430.7188298651513,3294.9384012425203,3313.042458392204,432999900
2025-04-24,3376.406494140625,3475.978803619303,3367.3544660062,3430.7186629471767,272537300
2025-04-25,3385.458740234375,3430.718883820396,3376.4067115171706,3412.6148263859877,136517100
2025-04-28,3475.978759765625,3485.030787785848,3421.666591644287,3430.7186196645102,212945800
2025-04-29,3485.031005859375,3503.13506303267,3457.8749200994316,3494.0830344460223,160631400
2025-04-30,3485.031005859375,3485.031005859375,3412.614777166193,3448.822891512784,226832200
2025-05-02,3512.18701171875,3548.3951252416236,3485.0309265765945,3548.3951252416236,205628100
2025-05-05,3494.0830078125,3548.395178918394,3494.0830078125,3530.291121883096,196917100
2025-05-06,3512.18701171875,3530.291068480187,3475.9788981958764,3475.9788981958764,111333800
2025-05-07,3539.343017578125,3539.343017578125,3503.1349048663283,3530.290989400176,119763100
2025-05-08,3430.71875,3584.6032321899734,3421.6667216358837,3539.343090369393,224121900
2025-05-09,3475.978759765625,3475.978759765625,3403.5625356038413,3448.822675704956,147638100
2025-05-14,3702.279541015625,3702.279541015625,3584.6031741862776,3620.811287056846,461642400
2025-05-15,3865.216064453125,3901.4241774690795,3738.487668897285,3747.5396971512737,537151700
2025-05-16,3847.112060546875,3919.5282875689336,3765.6438051470586,3901.424230813419,289337600
2025-05-19,3829.0078125,3856.1638962765956,3801.851728723404,3829.0078125,145935500
2025-05-20,3810.90380859375,3874.268004936164,3774.6956963980847,3829.0078646915827,209576900
2025-05-21,3856.1640625,3901.4242040786385,3810.9039209213615,3810.9039209213615,256020200
2025-05-22,3892.3720703125,3901.424098382994,3838.0599018895346,3874.2680141715114,208291800
2025-05-23,3937.63232421875,3955.7363808818245,3919.528267555675,3937.63232421875,108182800
2025-05-26,3910.47607421875,3937.632158067491,3856.1639065212676,3937.632158067491,149418600
2025-05-27,3955.736328125,3955.736328125,3874.268074227689,3910.4761870709385,180028000
2025-05-28,4028.152587890625,4028.152587890625,3910.4762201544945,3946.6843333040733,466133500
2025-06-02,3801.851806640625,3973.840340750558,3801.851806640625,3946.684256417411,389541100
2025-06-03,3801.851806640625,3829.0078909737726,3729.4355817522323,3810.9038347516744,277902300
2025-06-04,3693.2275390625,3829.007963292739,3693.2275390625,3829.007963292739,279755300
2025-06-05,3711.331787109375,3747.539902105564,3666.0716433641387,3720.383815858422,230129500
2025-06-10,3756.591796875,3765.6438253012047,3711.331654743976,3711.331654743976,179827500
2025-06-11,3684.175537109375,3747.5397355363175,3675.123508762669,3738.4877071896117,196558700
2025-06-12,3684.175537109375,3711.3316221494933,3675.123508762669,3684.175537109375,113850500
2025-06-13,3620.811279296875,3666.0714202880863,3602.7072229003907,3638.9153356933593,283826000
2025-06-16,3611.75927734375,3629.863333871789,3584.603192551692,3602.707249079731,155450700
2025-06-17,3584.60302734375,3647.9672222715435,3584.60302734375,3629.8631665778885,125769400
2025-06-18,3566.4990234375,3584.6030793940354,3530.290911524429,3575.5510514157677,140882100
2025-06-19,3439.770751953125,3548.3950914884867,3439.770751953125,3530.29103489926,355413000
2025-06-20,3430.71875,3475.9788918205804,3385.4586081794196,3385.4586081794196,516177900
2025-06-23,3367.3544921875,3394.5105768019152,3313.042322958669,3376.406520392305,222067700
2025-06-24,3421.66650390625,3530.2908373635914,3412.6144761181386,3457.874615058697,281594300
2025-06-25,3403.562744140625,3466.9269441645197,3376.4066584160987,3466.9269441645197,164257700
2025-06-26,3466.927001953125,3466.927001953125,3394.5107721473155,3421.666858324494,171427000
2025-06-30,3385.458740234375,3475.979027406417,3376.4067115171706,3475.979027406417,271933200
2025-07-01,3349.25048828125,3430.718743401605,3322.0944032411317,3421.6667150548988,212288800
2025-07-02,3331.146484375,3349.250541355299,3294.938370414402,3303.9903989045515,220273500
2025-07-03,3331.146484375,3376.406626825747,3331.146484375,3358.3025698454485,119674300
2025-07-04,3322.094482421875,3358.3025966717046,3303.99042529696,3331.1465109843325,91141200
2025-07-07,3349.25048828125,3349.25048828125,3303.9903465477196,3322.0944032411317,78783800
2025-07-08,3322.094482421875,3349.250568109247,3303.99042529696,3340.1985395467896,115551200
2025-07-09,3331.146484375,3349.250541355299,3303.9903989045515,3303.9903989045515,92437900
2025-07-10,3503.134765625,3512.1867934431525,3331.146237080103,3340.1982648982557,290117200
